Question,Text
What is the role of conversionism in Evangelicalism?,"Conversionism, or belief in the necessity of being ""born again"", has been a constant theme of Evangelicalism since its beginnings. To Evangelicals, the central message of the gospel is justification by faith in Christ and repentance, or turning away, from sin. Conversion differentiates the Christian from the non-Christian, and the change in life it leads to is marked by both a rejection of sin and a corresponding personal holiness of life. A conversion experience can be emotional, including grief and sorrow for sin followed by great relief at receiving forgiveness. The stress on conversion is further differentiated from other forms of Protestantism by the belief that an assurance of salvation will accompany conversion. Among Evangelicals, individuals have testified to both sudden and gradual conversions."
How did the assault on the Bastille the first year of the Revolution ultimately culminate into the capture & execution of Louis XVI in January 1793?,"The Republic was proclaimed in September 1792 after the French victory at Valmy. In a momentous event that led to international condemnation, Louis XVI was executed in January 1793. External threats closely shaped the course of the Revolution. The Revolutionary Wars beginning in 1792 ultimately featured French victories that facilitated the conquest of the Italian Peninsula, the Low Countries and most territories west of the Rhine - achievements that had eluded previous French governments for centuries. Internally, popular agitation radicalised the Revolution significantly, culminating in the rise of Maximilien Robespierre and the Jacobins. The dictatorship imposed by the Committee of Public Safety during the Reign of Terror, from 1793 until 1794, established price controls on food and other items, abolished slavery in French colonies abroad, dechristianised society through the creation of a new calendar and the expulsion of religious figures, and secured the borders of the new republic from its enemies."
What is the prehistory of Albania?,"The history of Albania emerged from the prehistoric stage from the 4th century BC, with early records of Illyria in Greco-Roman historiography.in

The first traces of human presence in Albania, dating to the Middle Paleolithic and Upper Paleolithic eras, were found in the village of Xarre, near Sarande and Mount Dajt near Tirane. The objects found in a cave near Xarre include flint and jasper objects and fossilized animal bones, while those found at Mount Dajt comprise bone and stone tools similar to those of the Aurignacian culture. The Paleolithic finds of Albania show great similarities with objects of the same era found at Crvena Stijena in Montenegro and north-western Greece. In ancient times, the territory of modern Albania was mainly inhabited by a number of Illyrian tribes. This territory was known as Illyria, corresponding roughly to the area east of the Adriatic sea to the mouth of the Vjose river in the south. The first account of the Illyrian groups comes from Periplus of the Euxine Sea, an ancient Greek text written in the middle of the 4th century BC."
What significance did Bulgaria have in the ending of World War I?,"Other movements supported the efforts of the Central Powers for their own reasons, such as the Irish Nationalists who launched the Easter Rising in Dublin in April 1916; they referred to their ""gallant allies in Europe"". In 1914, Jozef Pilsudski was permitted by Germany and Austria-Hungary to form independent Polish legions. Pilsudski wanted his legions to help the Central Powers defeat Russia and then side with France and the UK and win the war with them. Bulgaria signed an armistice with the Allies on 29 September 1918, following a successful Allied advance in Macedonia. The Ottoman Empire followed suit on 30 October 1918 in the face of British and Arab gains in Palestine and Syria. Austria and Hungary concluded ceasefires separately during the first week of November following the disintegration of the Habsburg Empire and the Italian offensive at Vittorio Veneto; Germany signed the armistice ending the war on the morning of 11 November 1918 after the Hundred Days Offensive, and a succession of advances by New Zealand, Australian, Canadian, Belgian, British, French and US forces in north-eastern France and Belgium."
What is the rationale of support of the Common Era?,"Weeks after the story broke, the Australian Curriculum, Assessment and Reporting Authority denied the rumour and stated that the BC/AD notation would remain, with CE and BCE as an optional suggested learning activity. The use of CE in Jewish scholarship was historically motivated by the desire to avoid the implicit ""Our Lord"" in the abbreviation AD. [citation needed] Although other aspects of dating systems are based in Christian origins, AD is a direct reference to Jesus as Lord. Proponents of the Common Era notation assert that the use of BCE/CE shows sensitivity to those who use the same year numbering system as the one that originated with and is currently used by Christians, but who are not themselves Christian. Former United Nations Secretary-General Kofi Annan, himself a Protestant, has argued:

[T]he Christian calendar no longer belongs exclusively to Christians. People of all faiths have taken to using it simply as a matter of convenience."
What has characterized Indonesia's foreign relations since the New Order era?,"In the two legislative elections since the fall of the New Order regime, no political party has managed to win an overall majority of seats, resulting in coalition governments. The Indonesian Democratic Party of Struggle is the party of Joko Widodo, the Indonesian President. The Great Indonesia Movement Party is the third largest political party. In contrast to Sukarno's anti-imperialistic antipathy to Western powers and tensions with Malaysia, Indonesia's foreign relations since the New Order era have been based on economic and political co-operation with the Western world. Indonesia maintains close relationships with its neighbours in Asia, and is a founding member of ASEAN and the East Asia Summit. The country restored relations with the People's Republic of China in 1990 following a freeze in place since anti-communist purges early in the Suharto era."
How violent is the Pacific Ocean?,"Tsunamis, caused by underwater earthquakes, have devastated many islands and in some cases destroyed entire towns. The Martin Waldseemuller map of 1507 was the first to show the Americas separating two distinct oceans. Later, the Diogo Ribeiro map of 1529 was the first to show the Pacific at about its proper size. [citation needed]

1 The status of Taiwan and China is disputed. For more information, see political status of Taiwan. The islands entirely within the Pacific Ocean can be divided into three main groups known as Micronesia, Melanesia and Polynesia."
Why is Sub-Saharan Africa considered to have a paradoxical birth rate?,"The inverse relationship between income and fertility has been termed a demographic-economic ""paradox"" by the notion that greater means would enable the production of more offspring as suggested by the influential Thomas Malthus. Afghanistan has the 11th highest birth rate in the world, and also the highest birth rate of any non-African country . The rapid population growth of Afghanistan is considered a problem by preventing population stabilization, and affecting maternal and infant health. Reasons for large families include tradition, religion, the low status of women and the cultural desire to have several sons. Japan has the third lowest birth rate in the world , with only Saint Pierre and Miquelon and Monaco having lower births rates. Japan has to deal with an unbalanced population with many elderly but few youth, and the situation is estimated to get worse in the future, unless there are major changes."
What were the effects of the Napoleonic Wars on Britain's empire?,"Overseas colonies were attacked and occupied, including those of the Netherlands, which was annexed by Napoleon in 1810. France was finally defeated by a coalition of European armies in 1815. Britain was again the beneficiary of peace treaties: France ceded the Ionian Islands, Malta , Mauritius, St Lucia, and Tobago; Spain ceded Trinidad; the Netherlands Guyana, and the Cape Colony. Britain returned Guadeloupe, Martinique, French Guiana, and Reunion to France, and Java and Suriname to the Netherlands, while gaining control of Ceylon . With the advent of the Industrial Revolution, goods produced by slavery became less important to the British economy. Added to this was the cost of suppressing regular slave rebellions."
"According to several economists, how can the HDI be a misguided statistic?","In parentheses is the year for which the index was calculated. The Human Development Index has been criticized on a number of grounds including alleged ideological biases towards egalitarianism and so-called ""Western models of development"", failure to include any ecological considerations, lack of consideration of technological development or contributions to the human civilization, focusing exclusively on national performance and ranking, lack of attention to development from a global perspective, measurement error of the underlying statistics, and on the UNDP's changes in formula which can lead to severe misclassification in the categorisation of 'low', 'medium', 'high' or 'very high' human development countries. Economists Hendrik Wolff, Howard Chong and Maximilian Auffhammer discuss the HDI from the perspective of data error in the underlying health, education and income statistics used to construct the HDI. They identified three sources of data error which are due to data updating, formula revisions and thresholds to classify a country's development status and conclude that 11%, 21% and 34% of all countries can be interpreted as currently misclassified in the development bins due to the three sources of data error, respectively. The authors suggest that the United Nations should discontinue the practice of classifying countries into development bins because - they claim - the cut-off values seem arbitrary, can provide incentives for strategic behavior in reporting official statistics, and have the potential to misguide politicians, investors, charity donors and the public who use the HDI at large. [citation needed] In 2010 the UNDP reacted to the criticism and updated the thresholds to classify nations as low, medium, and high human development countries."
